uic,unit,mcn,dscrp,dscrp_2,dscrp_3,dscrp_4,dscrp_5,dscrp_6,int_by
00246,AIMD NAS NORTH ISLAN,00JQQRP,RED MAIN ROTOR BLADE HAS CORROSION ON THE DUBBLER AND TIP BLOCK. CORROSION IS OUT OF LIMIT, , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,00JQSYY,ORIGINAL: 00JK546. TAIL ROTOR HEATER MAT RESISTANCE CHECKS FAILED ON BLUE/BLACK BLADES., , , , , ,DC LINGAD
00246,AIMD NAS NORTH ISLAN,00JQSZ0,ORIGINAL: 00JK54C. TAIL ROTO BLADE HEATER MAT RESISTANCE CHECKS FAILED FOR YELLOW BLADE. RED BLADE WITHIN LIMITS., , , , , ,DC LINGAD
00246,AIMD NAS NORTH ISLAN,00JQT77,YELLOW DMPER INBOARD AND OUTBOARD BARING OOL, , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,00JQU91,MAIN AIRCRAFT BATTERY PN: M81757/14-1. PINS ON JACK ARC TOGETHER., , , , , ,M NARKEVIC
00246,AIMD NAS NORTH ISLAN,00JQUO5,BLUE MR BLADE HAS EIDENCE OF CORROSION UILD UP NEAR CUFF EDGE SEALANT(SEALANT CURRENTLY DISBODING FROM SURFACE DUE TO CORROSION) UNABLE TO FIND LIMITS, , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,00JQUO7,"BLACK MR BLADE HAS EVIDENCE OF CORROSION BUILD UP, NEAR CUFF EDGE (SEALANT CURRENTLY DISBONDING FORM SURFACE DUE TO CORROSION), UNABLE TO LIMITS.", , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,00JQVGP,STABILATOR ONLY MOVES 2 DEGREES UP DURING CHECK. SHOULD MOVE 4-8 DEGREES UP., , , , , , T PARK
00246,AIMD NAS NORTH ISLAN,00JQVI7,PILOT CDU INOP, , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,00JQVO1,"YELLOW BLADE HAS SEVERE CORROSION ON END OF TIP CAP DOUBLER  OUT OF LIMITS. YELLW BLADE ALSO HAS BENT TRIM TAB, OUT OF LIMITS", , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,00JQWQI,"BLACK MAIN ROTOR BLADE HAS CORROSION UNDER SEALANT, AT FORWARD DOUBLER", , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,00JQWRO,YELLOW MAIN ROTOR BLADE TIP CAP SEALANTR IS SPLIT AND CORROSION RESIDUE IS SEEPING OUT OF SPLIT., , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,00JQWV9,MRH BLUE BLADE BIM INDICATOR SHOWS BLACK, , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,00JQX48,"FOLLOWING AREAS EXCEEDS LIMITS OF CORROSION/PITS FOR ONE BOTTOM AREA OF TIP BLOCK GREATER THAN 0.03 INCH DEEP, ON BOTTOM AREA OF TIP BLOCK DOUBLER GREATER THAN 0.005 INCH DEEP.", , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,00JQXAS,CRACK ON SO WINDOW., , , , , ,AM1 A BEDNAREK
00246,AIMD NAS NORTH ISLAN,00JQXBC,"SCIR CHANGE: 00JQWP9. CYCLIC TRIM INTERMINTTENTLY DOES NOT HOLD IN FLIGHT. UPON RELEASE OF CYCLIC TRIM RELEASE BUTTON, TRIM DOES NOT REEENGAGE, RESULTING IN UNCOMMANDED CYCLIC MOTIONS. TYPICALLY THIS RESULTED IN THE CYCLIC FALLING FORWARD AND LEFT, RESULT","ING IN A NOSE LOW, LEFT WING DOWN ATTITUDE. UPON DEPRESSION OF CYCLIC TRIM RELEASE A SUBSEQUENT TIME, TRIM MAY REENGAGE.", , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,00JQXGP,YELLOW TIP CAP WORN AND DETERIORATING AT MULTIPLE SCREW HOLES., , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,00JQYFQ,#3 HYDROLIC PUMP LEAKING OOL FROM PDI., , , , , ,S DOUMBIA
00246,AIMD NAS NORTH ISLAN,00JQYGG,GROUND BITE CODE 267 PITCH RATE GYRO #2. UPDATE 19FEB: SAS 1 FAIL REPEATEDLY OCCURS IN FLIGHT, , , , , ,AE2 K DONOHOE
00246,AIMD NAS NORTH ISLAN,00JQZCF,CIN: 5309 #6 TAIL DRIVE SHAFT 70361-06002-048 CORRODED, , , , , , H LE
00246,AIMD NAS NORTH ISLAN,00JQZCH,CIN: 6325 MAIN ROTOR SERVO INPUT PUSHROD 70400-22258-044 ROD END THREADS STRIPPED / DAMAGED., , , , , ,CIV D ANGELES
00246,AIMD NAS NORTH ISLAN,00JQZF2,"MISSING PIECE ON RAST BRACKET FOR GUIDE PIN  REFER TO MCN 00JQZB4, JCN: QG0055005.", , , , , ,AM2 B GROW
00246,AIMD NAS NORTH ISLAN,00JQZPP,"FLIR FAIL, BIT CODES CALL OUT CC", , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,00JQZY3,TAIL LANDING GEAR STRUT OOL DUE TO EXCESSIVE LEAKAGE ON UPPER SEAL., , , , , ,DT JONES
00246,AIMD NAS NORTH ISLAN,00JR0G2,SO MSN DISPLAY I/O, , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,00JR15W,FORWARD BRIDGE PITTING CORROSION MOUNTING PAD TONGUE OOL, , , , , ,DC LINGAD
00246,AIMD NAS NORTH ISLAN,00JR17N,"CENTER STAB POSITION SENSOR SEIZED INTO CENTER STAB, RECOMMEND REPLACEMENT", , , , , ,CIV E SANTANA
00246,AIMD NAS NORTH ISLAN,00JR17V,REMOVE AND REPLACE COMPONENT NOMENCLATURE M81757/14-1 MAIN AIRCRAFT BATTERY (ULM);  PART NO: M81757/14-1;  SERNO: 37607, , , , , ,AE1 I HOFFMAN
00246,AIMD NAS NORTH ISLAN,00JR19O,YELLOW REDUCTION GEAR HOUSING OUT OF LIMITS. BEARING DOES NOT MOVE FREELY, , , , , ,DT JONES
00246,AIMD NAS NORTH ISLAN,00JR1C3,ROLL TRIM SERVO FWD LEVER BEARING GRINDING AND HAS EXCESSIVE PLAY., , , , , ,CIV F DELEON
00246,AIMD NAS NORTH ISLAN,00JR1C5,"COLLECTIVE BOOST SERVO AFT LEVER BEARING GRINDING, HAS EXCESSIVE PLAY AND EXCESSIVE CORROSION PROTRUDING OUT OF BEARING INTERFACE.", , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,00JR1C6,PITCH TRIM SERVO FWD LEVER BEARING GRINDING AND HAS EXCESSIVE PLAY., , , , , ,CIV F DELEON
00246,AIMD NAS NORTH ISLAN,00JR1DN,HOVER ALTITUDE POTENTIOMETER DIAL 90 FOOT DISCREPANCY FROM WHAT IS DISPLAYED ON FLIGHT DISPLAY. EXAMPLE: HOVER POT SET TO 165 IN ORDER TO DISPLAY 70 FEET, , , , , ,AE2 R PONCE
00246,AIMD NAS NORTH ISLAN,00JR1DW,EXTINGUISHER LINE BETWEEN DIRECTIONAL CONTROL VALVE AND TWO-WAY CHECK VALE B-NUT THREADS DAMAGED, , , , , ,CIV B WARNER
00246,AIMD NAS NORTH ISLAN,00JR1FS,#1 HYD PUMP FILTER PLUNGER BROKEN INTERNALLY, , , , , ,DT JONES
00246,AIMD NAS NORTH ISLAN,00JR1G0,YAW PUSHROD HAS PITTING CORROSION ON INNER DIAMETER OF BAND OF THE HOLE OF RIVETED END ROD EXCIDING 30 PERCENT AND DEPTH OF .010., , , , , ,JR DARGUE
00246,AIMD NAS NORTH ISLAN,00JR1GP,CENTER STAB ACTUATOR BEARING PARTIALLY PUSHED OUT OF FITTING, , , , , , I FELIX
00246,AIMD NAS NORTH ISLAN,00JR1JA,YAW TRIM SERVO BEARING IS CORRODED AND HAS PLAY., , , , , ,CIV B PENCE
00246,AIMD NAS NORTH ISLAN,00JR1KC,YAW TRIM SERVO FWD LEVER BEARING LINER DETERIORATING, , , , , ,DT JONES
00246,AIMD NAS NORTH ISLAN,00JR1LU,"LH QUILL SHAFT HAVE WEAR THROUGH PLATING MATERIAL INTO BASE MATERIAL AND WEAR STEPS ON SPLINES.
", , , , , ,DT JONES
00246,AIMD NAS NORTH ISLAN,00JR1LV,RH  QUILL SHAFT HAVE WEAR THROUGH PLANTING MATERIAL INTO BASE MATERIAL AND WEAR STEPS ON SPLINES, , , , , ,S DOUMBIA
00246,AIMD NAS NORTH ISLAN,00JR1QL,#2 ACCESSORY MODULE MOUNTING CORNER SURFACE CORROSION OOL. MEASURED AT 0.075 DEPTH LIMIT IS 0.030, , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,00JR1QX,YELLOW/BLACK BIFILAR WEIGHT BUSHING IS CRACKED, , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,00JR1SE,YELLOW REDUCTION GEAR HOUSING OUT OF LIMITS., , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,00JR1TZ,UPON INITIALIZIED AMC WENT I/O AND INDICATED AMC HOT, , , , , ,AT2 J ALTENOR
00246,AIMD NAS NORTH ISLAN,00JR1Y4,BORE SURFACE OF FORWARD SCISSOR IS DAMGED OOL, , , , , , M DELA CRUZ
00246,AIMD NAS NORTH ISLAN,06TD1EO,RAD 2 DEGRADED. UNABLE TO TRANSMIT. ONLY ABLE TO RECIEVE., , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,06TD216,"MR DE-ICE FAULT AND ICE DETECT FAIL CAUTIONS ILLUMIINATED IMMEDIATELY UPON ACTIVATION OF THE BLADE DE-ICE TEST AFTER MOVING THE POWER SWITCH TO TEST DURING THE ""NORM"" CHECK.", , , , , ,AE1 N DUFF
00246,AIMD NAS NORTH ISLAN,06TD23E,PITTING OF CHROME ON MULTIPLE LOCATIONS ON LOWER STAGE TAIL LANDING GEAR STRUT PISTON, , , , , ,AM2 J GURROLA
00246,AIMD NAS NORTH ISLAN,06TD52M,PQDR REFER TO RCN- R09951-25-0016 YELLOW PITCH LOCK ACTUATOR INOPERATIVE, , , , , ,MD CUEVAS
00246,AIMD NAS NORTH ISLAN,06TD52Q,BLACK PITCHLOCK ACTUATOR INOPERATIVE., , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,06TD52R,TAIL PADDLE TIP UNDERLYING SURFACE CORRODED BEYONG STATED LIMITS, , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,06TD52S,TAIL PADDLE INTERNAL PIVOT BEARINGS DE-LAMINATING AND SEPERATING., , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,06TD534,YELLOW PITCH LOCK ACTUATOR INOP., , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,06TD5AJ,AFT BELLCRANK WORN OUT OF LIMITS, , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,06TD5AW,FOWARD BELL CRANK  BEARING WORN, , , , , , M SANTOS
00246,AIMD NAS NORTH ISLAN,06TD5H2,SCIR CHANGE: 06TD0IB . THE PILOT FD SCREEN SHUTS OFF WHEN BOTH GENERATORS ARE TURNED OFF. THE FD TURNED ON 10 SEC AFTER THE APU GEN PICKED UP THE LOAD., , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,06TD5IZ,COLLECTIVE SERVO OUTPUT LEVER BEARING BINDING., , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,06TD5J7,PITCH SECONDARY SERVO OUTPUT LEVER (SERVO TO MIXER) BEARING BINDING, , , , , ,AM2 J GURROLA
00246,AIMD NAS NORTH ISLAN,06TD5LK,STBD DRAG BEAM MOUNT SURFACE HOLES WORN OOL., , , , , ,AM2 J GURROLA
00246,AIMD NAS NORTH ISLAN,06TD5ME,OBRP CORROSION OOL, , , , , ,AD2 D SEELY
00246,AIMD NAS NORTH ISLAN,06TD5NS,LOWER STAGE CHROME PLATING WORN STBD STRUT, , , , , ,AM2 J GURROLA
00246,AIMD NAS NORTH ISLAN,06TD5NT,CHROME PALTING WORN ON PORT LOWER STAGE STRUT, , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,06TD5T7,#1 DRIVESHAFT ASSEMBLY INBOARD FLEX COUPLING LAMINATES BENT/DENTED lLARGE GAP). (70361-23001-047)., , , , , ,S DOUMBIA
00246,AIMD NAS NORTH ISLAN,06TD5UU,TLG FORK OOL, , , , , ,AM2 J GURROLA
00246,AIMD NAS NORTH ISLAN,06TD5UV,TLG STRUT OOL, , , , , ,AM2 J GURROLA
00246,AIMD NAS NORTH ISLAN,06TD5YN,TAIL POSITION LIGHT COVER WORN, , , , , ,M COLIMON
00246,AIMD NAS NORTH ISLAN,06TD61Z,"FORK JOURNAL AREA, CHROME CHIPPED", , , , , ,JR DARGUE
00246,AIMD NAS NORTH ISLAN,06TD624,"BLADE FOLD INOPERATIVE, BLADES NO. 1.3 &4 PITCHLOCKS DID NOT COMPLETILELY EXTEND", , , , , ,S DOUMBIA
00246,AIMD NAS NORTH ISLAN,06TD63D,COPILOT MISSION DISPLAY INOP., , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,0C2CAGY,"IN FLIGHT, WE RECIEVED A ""FLIR INOP"" ADVISORY FOLLOWED BY ELECTRICAL BURNING SMELL. THE FLIR PWR CB ALSO POPPED. WE SECURED MSN PWR AND TURNED OFF THE FLIR, AND THE SMELL WENT AWAY. DID NOT ATTEMPT TO INITALIZE THE FLIR AGAIN. NO VISIBLE SMOKE IN THE AIRC",RAFT OR NOSE BAY AFTER TROUBLESHOOTING ON DECK., , , , ,DT JONES
00246,AIMD NAS NORTH ISLAN,0C2CBCV,MAIN ROTOR HEAD BIFILAR OOL, , , , , ,X LI
00246,AIMD NAS NORTH ISLAN,0C2CD21,YELLOW BLADE OOL, , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,0C2CD2A,RED BLADE OOL., , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,0C2CDER,"SCIR CHANGE: 0C2CB0A. BATTERY WILL NOT HOLD A CHARGE. NO BATTERY (NOT EVEN CHARGE LOW) ON START UP, NEEDED EXTERNAL POWER. THEN ON SHUTDOWN, AFTER 4 HOURS OF ROTORS TURNING, THE CHARGE LOW LIGHT APPEARED AFTER APU SHUTDOWN.", , , , , ,DC LINGAD
00246,AIMD NAS NORTH ISLAN,0C2CDXA,SCIR CHANGE: 0C2CBN6. STAB AUTO FAILS WHEN INITIATED. STAB POWER CIRCUIT BREAKER POPS., , , , , ,DC LINGAD
00246,AIMD NAS NORTH ISLAN,0C2CE4O,"#1 STABILATOR AMP INOP CAUSING AFCS TO DEGRADE
", , , , , ,AE2 E NORBUT
00246,AIMD NAS NORTH ISLAN,0C2CEQY,RED PITCH LOCK MOTOR DOESNT DRIVE WITH NEW REDUCTIOM GEAR ASSY, , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,0C2CFG7,RED REDUCTION GEAR HOUSING GREASE FITTING SEIZED, , , , , ,DC LINGAD
00246,AIMD NAS NORTH ISLAN,0C2CFGM,REMOVE AND REPLACE COMPONENT NOMEN MAIN ROTOR HEAD DAMPER ASSY; PAT NO: 70106-28000-049; SERNO: A221-01078; POS CD: YELLOW, , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,0C2CFLN,RMV BLUE DAMPER DUE TO EXCEEDANCE OF COMPONENT TIME SINCE REPER, , , , , ,S DOUMBIA
00246,AIMD NAS NORTH ISLAN,0C2CFQ8,REMOVE AND REPLACE COMPONENT NOMENCLATURE MAIN ROTOR HEAD DAMPER ASS; PN:70106-28000-049; SN: A221-00864; POS CD: RED ***HI TIME*** NLT:2300 FLIGHT HOURS (A4506.5), , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,0C2CFX2,RED ELASTOMERIC BEARING SPHERICAL BEARING INTERIOR SIDE SHIM NICKS AND GOUGES OUT OF LIMITS., , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,0C2CFX6,BLACK MAIN ROTOR BLADE REDUCTION GEAR HOUSING ASSEMBLY GEARS LOOSE, , , , , ,S DOUMBIA
00246,AIMD NAS NORTH ISLAN,0C2CG21,DTU DOES NOT POWER ON., , , , , ,AT1 K ROSEN
00246,AIMD NAS NORTH ISLAN,0C2CG4A,SCIR CHANGE:  0C49G6O.  CMDS FAIL***UPDATE NEED TO REPLACE CMDS PROGRAMMER UPON RTHP****, , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,0C2CGAD,CMDS SEQUENCER FAIL, , , , , ,AT3 A CARPENTER
00246,AIMD NAS NORTH ISLAN,0C2CGDA,RED SPIDLE SUNGEAR BEARING CRACKED, , , , , ,S DOUMBIA
00246,AIMD NAS NORTH ISLAN,0C2CGDD,"SCIR CHANGE:  0C2C9X5.  UPPER ANTI COLLISION LIGHT PN: 70553-05002-109 INOP DURING INDUCTION
", , , , , ,AE1 C LYTLE
00246,AIMD NAS NORTH ISLAN,0C2CGN6,BACKUP HYDRAULIC PUMP MOTOR IS INOP, , , , , ,AZ1 R ZAPIEN
00246,AIMD NAS NORTH ISLAN,0GJCMJJ,FWD SWASHPLATE LINK BEARING OOL, , , , , ,AM1 K HALE
00246,AIMD NAS NORTH ISLAN,0GJCNK5,DURING BLADE FOLD - BACK TWO BLADES DID NOT FOLD. DURING SPREAD - BLADES SPREAD BUT SPREAD LIGHT DID NOT ILLUMINATE., , , , , ,AE1 J MAY
00246,AIMD NAS NORTH ISLAN,0SUIOPB,ENGINE FAILED TQ REPEATABILITY AND TORQUE ERROR, , , , , ,A CARYSANCHEZ
00246,AIMD NAS NORTH ISLAN,0SUJAZ2,OUTBOARD RETENTION PLATE PILOT BUSHING WORN OOL., , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,0SUJBIN,BLACK TAIL PADDLE TIP B LOCK HAS SEVERE EXFOLIATION CORROSION, , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,0SUJCEE,PORTABLE RESCUE HOIST/CARGO HOOK CONTROL PENDANT CASE CHIPPED MISSING PIECES. PENDANT STILL OPERATES 4.0 **MAF REINITIATED DUE PART D-ACTIONED BACK TO SQUADRON. PART REQUESTED TO GET D-ACTIONED DUE TO LACK OF AVAILABILITY IN LOCAL SUPPLY SYSTEM - ORIGIN A,"L MAF MCN: 0SUIXDE, AND 0SUJ26P AFTER SCIR IMPACTING.**", , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,0SUJDUQ,BLADE, , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,0SUJDUT,TAIL ROTOR BRUSH BLOCK OUT OF LIMITS, , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,0SUJEDL,TGB OOL DUE TO SPALLING/PITTING ON THE PINION TEETH., , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,0SUJFG3,#2 INBOARD ENGINE MOUNT BEARING WORN., , , , , ,DC LINGAD
00246,AIMD NAS NORTH ISLAN,0U44K8U,#9 FILTER HPUSOMG LEAKS APPROX 4 DROPS PER MINUTE, , , , , ,DC LINGAD
00246,AIMD NAS NORTH ISLAN,0U44LHQ,"NOSE LANDING GEAR INDICATED GEAR UNSAFE WHILE CONFIGURING FOR LANDING. COMPLETED EMERGENCY PROCEDURES TO INCLUDE EMERGENCY EXTENSION OF LANDING GEAR. NOSE GEAR REMAINED UNSAFE ON INDICATOR, HOWEVER RED STRIPING ON NOSE GEAR DRAG LINK WAS VERIFIED ALIGNEDB",Y VISUAL INSPECTION., , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,16PR4DR,pilot side collective stick c-pwr switch broken. will not stay in on position, , , , , ,S DOUMBIA
00246,AIMD NAS NORTH ISLAN,16PR65Z,"RESCUE HOIST CONTROL PENDANT ONLY REELS OUT AT HIGH SPEED. A1-H60RA-MRC-350, CARD 66.", , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,16PR67K,RED MAIN ROTOR TIP CAP FRAYS SHOWING (CARD ABCD-17) DAMAGE OOL REPLACEMENT REQUIRED IAW NMH60-R-54-50-0165-000-663A-A *NOTE-7, , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,16PR67L,YLW MAIN ROTOR TIP CAP HAS FRAYS SHOWING ON TOPSIDE (CARD ABCD-17)DAMAGE OOL  REPLACEMENT REQUIRED IAW NMH60-R-54-50-0165-000-663A-A*NOTE-7, , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,16PR681,BLUE MAIN ROTOR TIP CAP HAS FRAYS TOP AND BOTTOM (CARD ABCD-17)DAMAGE OOL REPLACEMENT REQUIRED IAW NMMH60-R-54-50-0165-000-663A-A *NOTE-7, , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,16PR6JU,ORIGINAL: 00JQQW3. PITCH LOCK MOTOR ON BLACK BLADE SEIZED., , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,16PR6UR,RAST PROBE TEFLON STRIPE OOL, , , , , ,S DOUMBIA
